Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11m,0.4,0.6892671433327309,yolo11n,0.3,0.7094570739929422,0.21229383619233155
yolo11m,0.4,0.6892671433327309,yolo11n,0.4,0.6901673756455944,0.9698499769931556
yolo11m,0.4,0.6892671433327309,yolo11n,0.6,0.6121434395759431,0.017257456083119765
yolo11m,0.4,0.6892671433327309,yolo11n,0.5,0.6691872097454721,0.21229383619233155
yolo11m,0.4,0.6892671433327309,yolo11n,0.7,0.5478566336866523,0.00018267179110955002
yolo11m,0.4,0.6892671433327309,yolo11n,0.8,0.4036743644012238,0.000181651146091465
yolo11m,0.4,0.6892671433327309,yolo11n,0.9,0.1014526168224299,0.00011067076459386204
yolo11m,0.4,0.6892671433327309,yolo11s,0.3,0.6814322460718609,0.5707503880581739
yolo11m,0.4,0.6892671433327309,yolo11s,0.4,0.6648175792146895,0.12122450301291662
yolo11m,0.4,0.6892671433327309,yolo11s,0.6,0.5889228791892829,0.004586392080253494
yolo11m,0.4,0.6892671433327309,yolo11s,0.5,0.637112946227011,0.06402210128302689
yolo11m,0.4,0.6892671433327309,yolo11s,0.7,0.48366033717659374,0.00024480482452445495
yolo11m,0.4,0.6892671433327309,yolo11s,0.8,0.17612164748392098,0.00014939276635154945
yolo11m,0.4,0.6892671433327309,yolo11s,0.9,0.0504626168224299,8.744986536701464e-05
