Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11n,0.4,0.6901673756455944,yolo11s,0.3,0.6814322460718609,0.6231762238821174
yolo11n,0.4,0.6901673756455944,yolo11s,0.4,0.6648175792146895,0.24132159301718004
yolo11n,0.4,0.6901673756455944,yolo11s,0.6,0.5889228791892829,0.004586392080253494
yolo11n,0.4,0.6901673756455944,yolo11s,0.5,0.637112946227011,0.04515456962427901
yolo11n,0.4,0.6901673756455944,yolo11s,0.7,0.48366033717659374,0.00024480482452445495
yolo11n,0.4,0.6901673756455944,yolo11s,0.8,0.17612164748392098,0.00014939276635154945
yolo11n,0.4,0.6901673756455944,yolo11s,0.9,0.0504626168224299,8.744986536701464e-05
yolo11n,0.4,0.6901673756455944,yolo11m,0.3,0.7044395201737499,0.5205228832757727
yolo11n,0.4,0.6901673756455944,yolo11m,0.4,0.6892671433327309,0.9698499769931556
yolo11n,0.4,0.6901673756455944,yolo11m,0.6,0.5870477414992383,0.0013149446697132139
yolo11n,0.4,0.6901673756455944,yolo11m,0.5,0.6404474230222659,0.14046504815835495
yolo11n,0.4,0.6901673756455944,yolo11m,0.7,0.42009667049634397,0.00024480482452445495
yolo11n,0.4,0.6901673756455944,yolo11m,0.8,0.051388,8.744986536701464e-05
yolo11n,0.4,0.6901673756455944,yolo11m,0.9,0.0,6.386444750436982e-05
