Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11s,0.4,0.6648175792146895,yolo11n,0.3,0.7094570739929422,0.03763531378731424
yolo11s,0.4,0.6648175792146895,yolo11n,0.4,0.6901673756455944,0.24132159301718004
yolo11s,0.4,0.6648175792146895,yolo11n,0.6,0.6121434395759431,0.06402210128302689
yolo11s,0.4,0.6648175792146895,yolo11n,0.5,0.6691872097454721,0.9097218891455553
yolo11s,0.4,0.6648175792146895,yolo11n,0.7,0.5478566336866523,0.0005828399431792743
yolo11s,0.4,0.6648175792146895,yolo11n,0.8,0.4036743644012238,0.000181651146091465
yolo11s,0.4,0.6648175792146895,yolo11n,0.9,0.1014526168224299,0.00011067076459386204
yolo11s,0.4,0.6648175792146895,yolo11m,0.3,0.7044395201737499,0.031209012771740218
yolo11s,0.4,0.6648175792146895,yolo11m,0.4,0.6892671433327309,0.12122450301291662
yolo11s,0.4,0.6648175792146895,yolo11m,0.6,0.5870477414992383,0.0028272720911168077
yolo11s,0.4,0.6648175792146895,yolo11m,0.5,0.6404474230222659,0.6231762238821174
yolo11s,0.4,0.6648175792146895,yolo11m,0.7,0.42009667049634397,0.0005800603714706721
yolo11s,0.4,0.6648175792146895,yolo11m,0.8,0.051388,8.744986536701464e-05
yolo11s,0.4,0.6648175792146895,yolo11m,0.9,0.0,6.386444750436982e-05
