Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11s,0.4,0.8491084285714285,yolo11n,0.3,0.8710742083333333,0.5965631597626196
yolo11s,0.4,0.8491084285714285,yolo11n,0.4,0.8615338611111112,0.7911833481406884
yolo11s,0.4,0.8491084285714285,yolo11n,0.6,0.8086953571428571,0.2723141220596529
yolo11s,0.4,0.8491084285714285,yolo11n,0.5,0.8306307142857141,0.6764349997242503
yolo11s,0.4,0.8491084285714285,yolo11n,0.7,0.7661263571428572,0.05300175543258759
yolo11s,0.4,0.8491084285714285,yolo11n,0.8,0.7070716071428571,0.0030836984299121746
yolo11s,0.4,0.8491084285714285,yolo11n,0.9,0.5868609090909093,0.00017861448837368162
yolo11s,0.4,0.8491084285714285,yolo11m,0.3,0.8794939457070707,0.44952132576702597
yolo11s,0.4,0.8491084285714285,yolo11m,0.4,0.8434370178571429,0.7911065051576629
yolo11s,0.4,0.8491084285714285,yolo11m,0.6,0.805502873015873,0.34361340325707423
yolo11s,0.4,0.8491084285714285,yolo11m,0.5,0.8162478373015872,0.34434119233838356
yolo11s,0.4,0.8491084285714285,yolo11m,0.7,0.6748288831168832,0.07522166534813728
yolo11s,0.4,0.8491084285714285,yolo11m,0.8,0.47438625000000006,0.0021601407222153076
yolo11s,0.4,0.8491084285714285,yolo11m,0.9,0.13999999999999999,0.0005865602977483269
